userID,placeID,rating,food_rating,service_rating,Rating_sum,latitude,longitude,smoker,drink_level,dress_preference,ambience,transport,marital_status,hijos,age,interest,personality,religion,activity,color,weight,budget,height,res_latitude,res_longitude,the_geom_meter,name,address,city,state,country,fax,zip,alcohol,smoking_area,dress_code,accessibility,price,url,Rambience,franchise,area,other_services
U1077,135085,2,2,2,6,22.156469,-100.98554,FALSE,social drinker,elegant,family,public,married,kids,24,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,22.150802,-100.98268,0101000020957F00009F823DA6094858C18A2D4D37F9A44B41,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,SLP,Mexico,?,78000,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,?,familiar,f,closed,none
U1077,135038,2,2,1,5,22.156469,-100.98554,FALSE,social drinker,elegant,family,public,married,kids,24,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,22.155651,-100.977767,0101000020957F0000506149736E4758C1A8BC93DA48A34B41,Restaurant la Chalita,Guajardo Sn San Luis Potosi Centro,San Luis Potosi,SLP,Mexico,?,78000,No_Alcohol_Served,section,informal,no_accessibility,medium,?,familiar,f,closed,none
U1077,132825,2,2,2,6,22.156469,-100.98554,FALSE,social drinker,elegant,family,public,married,kids,24,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,esquina santos degollado y leon guzman,s.l.p.,s.l.p.,mexico,?,78280,No_Alcohol_Served,none,informal,completely,low,?,familiar,f,open,none
U1077,135060,1,2,2,5,22.156469,-100.98554,FALSE,social drinker,elegant,family,public,married,kids,24,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,22.156883,-100.978485,0101000020957F00004C95C918394758C17A5C44896AA34B41,Restaurante Marisco Sam,Ignacio Allende 785 Centro,San Luis Potosi,SLP,Mexico,?,78310,No_Alcohol_Served,none,informal,no_accessibility,medium,?,familiar,f,closed,none
U1068,135104,1,1,2,4,23.752269,-99.168605,FALSE,casual drinker,informal,friends,public,single,independent,23,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,23.7529821,-99.1684341,0101000020957F00007CDF5EAFC58157C1645743B23E4F4941,vips,?,?,?,?,?,?,Full_Bar,not permitted,informal,completely,medium,?,familiar,t,closed,variety
U1068,132740,0,0,0,0,23.752269,-99.168605,FALSE,casual drinker,informal,friends,public,single,independent,23,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,23.7521965,-99.1666317,0101000020957F000027A30471EE8157C1AC17D61EC84E4941,Carreton de Flautas y Migadas,?,Ciudad Victoria,Tamaulipas,Mexico,?,?,No_Alcohol_Served,permitted,informal,completely,low,?,familiar,f,open,none
U1068,132663,1,1,1,3,23.752269,-99.168605,FALSE,casual drinker,informal,friends,public,single,independent,23,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,23.7525107,-99.1669536,0101000020957F0000FDF8D26EE08157C1FEDB6A1FDB4E4941,tacos abi,?,victoria,tamaulipas,mexico,?,?,No_Alcohol_Served,none,informal,completely,low,?,familiar,f,closed,none
U1068,132732,0,0,0,0,23.752269,-99.168605,FALSE,casual drinker,informal,friends,public,single,independent,23,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,23.7543569,-99.171288,0101000020957F00008A20E615808157C16272FECBF84F4941,Taqueria EL amigo ,Calle Mezquite Fracc Framboyanes,Cd Victoria,Tamaulipas,Mexico,?,87018,No_Alcohol_Served,none,casual,completely,low,?,familiar,f,open,none
U1068,132630,1,1,1,3,23.752269,-99.168605,FALSE,casual drinker,informal,friends,public,single,independent,23,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,23.7529305,-99.1644725,0101000020957F000047206572DE8157C1D3315028254E4941,palomo tec,blvrd emilio portes gil,victoria,tamaulipas,?,?,?,No_Alcohol_Served,none,informal,completely,low,?,familiar,f,closed,none
U1067,132584,2,2,2,6,23.752269,-99.168605,FALSE,abstemious,no preference,family,public,single,independent,24,technology,thrifty-protector,Christian,student,green,92,medium,1.73,23.7523648,-99.1652879,0101000020957F000048C65BA7EF8157C177F2344D664E4941,Gorditas Dona Tota,?,?,?,?,?,?,No_Alcohol_Served,not permitted,informal,completely,medium,?,familiar,t,closed,none
U1067,132733,1,1,1,3,23.752269,-99.168605,FALSE,abstemious,no preference,family,public,single,independent,24,technology,thrifty-protector,Christian,student,green,92,medium,1.73,23.7527071,-99.1625655,0101000020957F0000F2F4110CF28157C1DCFD7C1BA04D4941,Little Cesarz,?,Ciudad Victoria,Tamaulipas,Mexico,?,?,No_Alcohol_Served,not permitted,informal,completely,medium,?,familiar,t,closed,none
U1067,132732,1,2,2,5,23.752269,-99.168605,FALSE,abstemious,no preference,family,public,single,independent,24,technology,thrifty-protector,Christian,student,green,92,medium,1.73,23.7543569,-99.171288,0101000020957F00008A20E615808157C16272FECBF84F4941,Taqueria EL amigo ,Calle Mezquite Fracc Framboyanes,Cd Victoria,Tamaulipas,Mexico,?,87018,No_Alcohol_Served,none,casual,completely,low,?,familiar,f,open,none
U1067,132630,1,0,1,2,23.752269,-99.168605,FALSE,abstemious,no preference,family,public,single,independent,24,technology,thrifty-protector,Christian,student,green,92,medium,1.73,23.7529305,-99.1644725,0101000020957F000047206572DE8157C1D3315028254E4941,palomo tec,blvrd emilio portes gil,victoria,tamaulipas,?,?,?,No_Alcohol_Served,none,informal,completely,low,?,familiar,f,closed,none
U1067,135104,0,0,0,0,23.752269,-99.168605,FALSE,abstemious,no preference,family,public,single,independent,24,technology,thrifty-protector,Christian,student,green,92,medium,1.73,23.7529821,-99.1684341,0101000020957F00007CDF5EAFC58157C1645743B23E4F4941,vips,?,?,?,?,?,?,Full_Bar,not permitted,informal,completely,medium,?,familiar,t,closed,variety
U1067,132560,1,0,0,1,23.752269,-99.168605,FALSE,abstemious,no preference,family,public,single,independent,24,technology,thrifty-protector,Christian,student,green,92,medium,1.73,23.7523041,-99.1669133,0101000020957F0000FC60BDA8E88157C1B2C357D6DA4E4941,puesto de gorditas,frente al tecnologico,victoria,tamaulipas,mexico,?,?,No_Alcohol_Served,permitted,informal,no_accessibility,low,?,familiar,f,open,none
U1103,132584,1,2,1,4,23.752265,-99.16859,FALSE,abstemious,formal,friends,public,single,independent,22,technology,hard-worker,Jewish,professional,green,120,medium,1.9,23.7523648,-99.1652879,0101000020957F000048C65BA7EF8157C177F2344D664E4941,Gorditas Dona Tota,?,?,?,?,?,?,No_Alcohol_Served,not permitted,informal,completely,medium,?,familiar,t,closed,none
U1103,132732,0,0,2,2,23.752265,-99.16859,FALSE,abstemious,formal,friends,public,single,independent,22,technology,hard-worker,Jewish,professional,green,120,medium,1.9,23.7543569,-99.171288,0101000020957F00008A20E615808157C16272FECBF84F4941,Taqueria EL amigo ,Calle Mezquite Fracc Framboyanes,Cd Victoria,Tamaulipas,Mexico,?,87018,No_Alcohol_Served,none,casual,completely,low,?,familiar,f,open,none
U1103,132630,1,2,0,3,23.752265,-99.16859,FALSE,abstemious,formal,friends,public,single,independent,22,technology,hard-worker,Jewish,professional,green,120,medium,1.9,23.7529305,-99.1644725,0101000020957F000047206572DE8157C1D3315028254E4941,palomo tec,blvrd emilio portes gil,victoria,tamaulipas,?,?,?,No_Alcohol_Served,none,informal,completely,low,?,familiar,f,closed,none
U1103,132613,2,2,2,6,23.752265,-99.16859,FALSE,abstemious,formal,friends,public,single,independent,22,technology,hard-worker,Jewish,professional,green,120,medium,1.9,23.7529035,-99.165076,0101000020957F00008EBA2D06DC8157C194E03B7B504E4941,carnitas_mata,lic. Emilio portes gil,victoria,Tamaulipas,Mexico,?,?,No_Alcohol_Served,permitted,informal,completely,medium,?,familiar,t,closed,none
U1103,132667,1,2,2,5,23.752265,-99.16859,FALSE,abstemious,formal,friends,public,single,independent,22,technology,hard-worker,Jewish,professional,green,120,medium,1.9,23.7526973,-99.1633594,0101000020957F00005D67BCDDED8157C1222A2DC8D84D4941,little pizza Emilio Portes Gil,calle emilio portes gil,victoria ,tamaulipas,?,?,?,No_Alcohol_Served,none,informal,completely,low,?,familiar,t,closed,none
U1103,135104,1,2,0,3,23.752265,-99.16859,FALSE,abstemious,formal,friends,public,single,independent,22,technology,hard-worker,Jewish,professional,green,120,medium,1.9,23.7529821,-99.1684341,0101000020957F00007CDF5EAFC58157C1645743B23E4F4941,vips,?,?,?,?,?,?,Full_Bar,not permitted,informal,completely,medium,?,familiar,t,closed,variety
U1103,132663,1,0,2,3,23.752265,-99.16859,FALSE,abstemious,formal,friends,public,single,independent,22,technology,hard-worker,Jewish,professional,green,120,medium,1.9,23.7525107,-99.1669536,0101000020957F0000FDF8D26EE08157C1FEDB6A1FDB4E4941,tacos abi,?,victoria,tamaulipas,mexico,?,?,No_Alcohol_Served,none,informal,completely,low,?,familiar,f,closed,none
U1103,132733,2,2,2,6,23.752265,-99.16859,FALSE,abstemious,formal,friends,public,single,independent,22,technology,hard-worker,Jewish,professional,green,120,medium,1.9,23.7527071,-99.1625655,0101000020957F0000F2F4110CF28157C1DCFD7C1BA04D4941,Little Cesarz,?,Ciudad Victoria,Tamaulipas,Mexico,?,?,No_Alcohol_Served,not permitted,informal,completely,medium,?,familiar,t,closed,none
U1107,132660,2,2,1,5,23.742409,-99.171889,FALSE,abstemious,no preference,friends,car owner,single,independent,22,variety,hard-worker,Catholic,?,blue,87,high,1.79,23.7529428,-99.1646791,0101000020957F00003D7905C9DC8157C13FCD1AB7334E4941,carnitas mata calle Emilio Portes Gil,Emilio Portes Gil,victoria,tamaulipas,?,?,?,No_Alcohol_Served,none,informal,completely,low,?,familiar,f,closed,none
